,Genome,Rank,Count,Hamming_distance,Match
71,G900322255,Species,204912,1,False
72,G900322255,Species,129614,2,False
73,G900322255,Genus,92626,1,False
74,G900322255,Species,91842,3,False
75,G900322255,Species,70097,4,False
76,G900322255,Species,63064,5,False
77,G900322255,Genus,29486,2,False
78,G900322255,Genus,11465,3,False
79,G900322255,Class,5938,0,False
80,G900322255,Genus,5593,4,False
81,G900322255,Family,5030,0,False
82,G900322255,Genus,3871,5,False
83,G900322255,Phylum,2478,0,True
84,G900322255,Class,1844,1,False
85,G900322255,Kingdom,1831,0,True
86,G900322255,Family,1587,1,False
87,G900322255,Family,1330,2,False
88,G900322255,Kingdom,1308,1,True
89,G900322255,Family,1139,3,False
90,G900322255,Class,1094,2,False
91,G900322255,Family,931,4,False
92,G900322255,Phylum,828,1,True
93,G900322255,Family,826,5,False
94,G900322255,Kingdom,653,2,True
95,G900322255,Kingdom,632,5,True
96,G900322255,Class,627,3,False
97,G900322255,Phylum,492,2,True
98,G900322255,Kingdom,453,3,True
99,G900322255,Kingdom,448,4,True
100,G900322255,Class,407,4,False
101,G900322255,Order,362,2,False
102,G900322255,Class,309,5,False
103,G900322255,Order,300,3,False
104,G900322255,Phylum,273,3,True
105,G900322255,Order,272,4,False
106,G900322255,Order,253,1,False
107,G900322255,Order,250,5,False
108,G900322255,Phylum,182,5,False
109,G900322255,Phylum,157,4,True
110,G900322255,Order,147,0,False
111,G900322255,Phylum,105,4,False
112,G900322255,Phylum,91,2,False
113,G900322255,Phylum,87,1,False
114,G900322255,Phylum,82,3,False
115,G900322255,Class,79,1,True
116,G900322255,Phylum,75,5,True
117,G900322255,Class,74,2,True
118,G900322255,Class,40,3,True
119,G900322255,Class,22,4,True
120,G900322255,Family,15,4,True
121,G900322255,Class,12,5,True
122,G900322255,Family,12,1,True
123,G900322255,Family,9,5,True
124,G900322255,Family,9,3,True
125,G900322255,Family,9,2,True
126,G900322255,Class,9,0,True
127,G900322255,Order,6,5,True
128,G900322255,Order,6,3,True
129,G900322255,Kingdom,6,1,False
130,G900322255,Order,5,1,True
131,G900322255,Order,4,4,True
132,G900322255,Order,3,0,True
133,G900322255,Kingdom,2,2,False
134,G900322255,Order,1,2,True
135,G007859155,Species,1165470,0,True
136,G007859155,Species,93627,1,True
137,G007859155,Species,30642,5,False
138,G007859155,Species,16794,4,False
139,G007859155,Species,12185,2,True
140,G007859155,Species,11517,3,False
141,G007859155,Species,8040,2,False
142,G007859155,Species,6151,1,False
143,G007859155,Species,5497,0,False
144,G007859155,Species,3026,3,True
145,G007859155,Genus,1437,5,False
146,G007859155,Kingdom,1169,0,True
147,G007859155,Species,958,4,True
148,G007859155,Genus,856,4,False
149,G007859155,Kingdom,815,1,True
150,G007859155,Kingdom,810,5,True
151,G007859155,Genus,753,3,False
152,G007859155,Kingdom,625,3,True
153,G007859155,Class,603,0,True
154,G007859155,Genus,600,2,False
155,G007859155,Kingdom,576,4,True
156,G007859155,Order,552,0,True
157,G007859155,Kingdom,549,2,True
158,G007859155,Genus,531,1,False
159,G007859155,Family,350,5,False
160,G007859155,Genus,343,0,False
161,G007859155,Family,306,3,False
162,G007859155,Order,285,5,False
163,G007859155,Class,283,5,False
164,G007859155,Family,275,4,False
165,G007859155,Phylum,270,5,False
166,G007859155,Family,268,2,False
167,G007859155,Species,267,5,True
168,G007859155,Phylum,239,3,False
169,G007859155,Class,220,2,False
170,G007859155,Class,219,1,False
171,G007859155,Phylum,214,4,False
172,G007859155,Class,208,3,False
173,G007859155,Phylum,208,2,False
174,G007859155,Class,205,1,True
175,G007859155,Phylum,193,1,False
176,G007859155,Order,191,4,False
177,G007859155,Class,183,4,False
178,G007859155,Genus,174,0,True
179,G007859155,Family,172,1,False
180,G007859155,Order,168,3,False
181,G007859155,Order,159,2,False
182,G007859155,Class,139,3,True
183,G007859155,Class,134,4,True
184,G007859155,Class,129,2,True
185,G007859155,Class,125,5,True
186,G007859155,Phylum,125,5,True
187,G007859155,Family,115,0,False
188,G007859155,Phylum,110,4,True
189,G007859155,Phylum,102,3,True
190,G007859155,Order,99,1,False
191,G007859155,Phylum,75,2,True
192,G007859155,Phylum,71,1,True
193,G007859155,Order,63,1,True
194,G007859155,Phylum,46,0,False
195,G007859155,Phylum,39,0,True
196,G007859155,Class,29,0,False
197,G007859155,Family,18,0,True
198,G007859155,Genus,9,1,True
199,G007859155,Order,3,2,True
200,G007859155,Kingdom,2,5,False
201,G003070825,Species,214101,0,False
202,G003070825,Species,85679,1,False
203,G003070825,Species,85374,5,False
204,G003070825,Species,72819,2,False
205,G003070825,Species,67500,3,False
206,G003070825,Species,65679,4,False
207,G003070825,Genus,42652,0,True
208,G003070825,Genus,10743,1,True
209,G003070825,Genus,6330,2,True
210,G003070825,Genus,4157,3,True
211,G003070825,Genus,3286,5,False
212,G003070825,Genus,2179,4,True
213,G003070825,Genus,2113,4,False
214,G003070825,Kingdom,1669,5,True
215,G003070825,Genus,1662,3,False
216,G003070825,Genus,1097,2,False
217,G003070825,Genus,1055,5,True
218,G003070825,Kingdom,956,4,True
219,G003070825,Kingdom,875,3,True
220,G003070825,Kingdom,686,2,True
221,G003070825,Genus,604,1,False
222,G003070825,Kingdom,587,1,True
223,G003070825,Kingdom,554,0,True
224,G003070825,Family,516,5,False
225,G003070825,Order,487,5,False
226,G003070825,Phylum,450,5,False
227,G003070825,Family,406,4,False
228,G003070825,Order,405,4,False
229,G003070825,Family,387,3,False
230,G003070825,Class,372,5,False
231,G003070825,Family,319,2,False
232,G003070825,Order,311,3,False
233,G003070825,Order,296,2,False
234,G003070825,Phylum,276,4,False
235,G003070825,Class,257,4,False
236,G003070825,Class,240,3,False
237,G003070825,Phylum,238,1,True
238,G003070825,Phylum,227,3,False
239,G003070825,Phylum,220,0,True
240,G003070825,Class,209,0,True
241,G003070825,Family,194,1,False
242,G003070825,Order,191,1,False
243,G003070825,Phylum,176,2,True
244,G003070825,Phylum,172,2,False
245,G003070825,Class,167,2,False
246,G003070825,Genus,152,0,False
247,G003070825,Order,149,0,True
248,G003070825,Class,147,1,True
249,G003070825,Phylum,130,4,True
250,G003070825,Family,121,0,True
251,G003070825,Phylum,118,3,True
252,G003070825,Class,107,1,False
253,G003070825,Phylum,75,1,False
254,G003070825,Phylum,74,5,True
255,G003070825,Class,60,2,True
256,G003070825,Class,34,3,True
257,G003070825,Family,34,0,False
258,G003070825,Family,33,1,True
259,G003070825,Order,26,0,False
260,G003070825,Phylum,25,0,False
261,G003070825,Order,23,1,True
262,G003070825,Order,22,2,True
263,G003070825,Class,15,4,True
264,G003070825,Class,15,0,False
265,G003070825,Kingdom,13,1,False
266,G003070825,Order,12,3,True
267,G003070825,Class,10,5,True
268,G003070825,Family,5,2,True
269,G003070825,Order,4,4,True
270,G003070825,Family,4,3,True
271,G003070825,Kingdom,4,2,False
272,G003070825,Order,2,5,True
273,G003070825,Kingdom,2,5,False
274,G003070825,Kingdom,2,0,False
275,G003070825,Family,1,4,True
276,G002260745,Species,465616,0,True
277,G002260745,Species,192850,1,True
278,G002260745,Species,139142,2,False
279,G002260745,Species,132042,3,False
280,G002260745,Species,105124,4,False
281,G002260745,Species,100978,1,False
282,G002260745,Species,91406,5,False
283,G002260745,Family,51169,0,True
284,G002260745,Species,51070,2,True
285,G002260745,Genus,27333,0,True
286,G002260745,Family,22591,1,True
287,G002260745,Species,18902,0,False
288,G002260745,Order,16744,0,True
289,G002260745,Order,11787,1,True
290,G002260745,Species,11435,3,True
291,G002260745,Family,10314,2,True
292,G002260745,Genus,5919,1,True
293,G002260745,Order,5005,2,True
294,G002260745,Family,4781,3,True
295,G002260745,Class,4696,0,True
296,G002260745,Class,4351,1,True
297,G002260745,Genus,4004,2,False
298,G002260745,Genus,3763,1,False
299,G002260745,Genus,3259,3,False
300,G002260745,Phylum,2645,0,True
301,G002260745,Genus,2590,4,False
302,G002260745,Kingdom,2565,0,True
303,G002260745,Genus,2367,5,False
304,G002260745,Species,2354,4,True
305,G002260745,Phylum,2278,1,True
306,G002260745,Family,2136,4,True
307,G002260745,Kingdom,2091,1,True
308,G002260745,Class,2001,2,True
309,G002260745,Order,1860,3,True
310,G002260745,Family,1728,1,False
311,G002260745,Family,1538,2,False
312,G002260745,Phylum,1435,2,True
313,G002260745,Kingdom,1243,2,True
314,G002260745,Family,1159,3,False
315,G002260745,Genus,933,2,True
316,G002260745,Family,899,5,True
317,G002260745,Phylum,755,3,True
318,G002260745,Class,752,3,True
319,G002260745,Family,707,4,False
320,G002260745,Kingdom,670,3,True
321,G002260745,Family,643,5,False
322,G002260745,Order,571,4,True
323,G002260745,Genus,554,0,False
324,G002260745,Species,539,5,True
325,G002260745,Kingdom,448,5,True
326,G002260745,Kingdom,437,4,True
327,G002260745,Order,425,2,False
328,G002260745,Class,421,2,False
329,G002260745,Order,415,1,False
330,G002260745,Class,382,1,False
331,G002260745,Class,375,3,False
332,G002260745,Order,368,3,False
333,G002260745,Class,365,4,True
334,G002260745,Phylum,324,4,True
335,G002260745,Class,314,4,False
336,G002260745,Order,308,5,False
337,G002260745,Order,306,4,False
338,G002260745,Class,291,5,False
339,G002260745,Genus,199,3,True
340,G002260745,Phylum,169,5,True
341,G002260745,Order,166,5,True
342,G002260745,Family,148,0,False
343,G002260745,Class,146,5,True
344,G002260745,Phylum,134,5,False
345,G002260745,Phylum,113,1,False
346,G002260745,Phylum,97,2,False
347,G002260745,Phylum,88,4,False
348,G002260745,Phylum,71,3,False
349,G002260745,Genus,66,4,True
350,G002260745,Genus,27,5,True
351,G002260745,Order,19,0,False
352,G002260745,Class,13,0,False
353,G002260745,Phylum,5,0,False
354,G002260745,Kingdom,3,3,False
355,G002260745,Kingdom,1,4,False
356,G002483125,Species,58644,5,False
357,G002483125,Species,40371,4,False
358,G002483125,Species,29982,3,False
359,G002483125,Species,18110,2,False
360,G002483125,Species,7079,1,False
361,G002483125,Genus,2395,5,False
362,G002483125,Genus,1699,4,False
363,G002483125,Genus,1403,3,False
364,G002483125,Species,1236,0,False
365,G002483125,Genus,987,2,False
366,G002483125,Phylum,828,0,True
367,G002483125,Kingdom,766,5,True
368,G002483125,Genus,643,1,False
369,G002483125,Family,428,5,False
370,G002483125,Family,404,4,False
371,G002483125,Family,397,3,False
372,G002483125,Phylum,375,2,True
373,G002483125,Kingdom,368,4,True
374,G002483125,Phylum,350,1,True
375,G002483125,Phylum,327,5,True
376,G002483125,Phylum,322,3,True
377,G002483125,Phylum,293,4,True
378,G002483125,Order,273,5,False
379,G002483125,Family,271,2,False
380,G002483125,Class,269,5,False
381,G002483125,Kingdom,251,2,True
382,G002483125,Kingdom,249,3,True
383,G002483125,Kingdom,247,1,True
384,G002483125,Phylum,216,5,False
385,G002483125,Class,208,4,False
386,G002483125,Genus,207,0,False
387,G002483125,Family,181,1,False
388,G002483125,Order,174,4,False
389,G002483125,Order,174,3,False
390,G002483125,Class,139,3,False
391,G002483125,Kingdom,132,0,True
392,G002483125,Class,129,2,False
393,G002483125,Order,126,2,False
394,G002483125,Family,124,0,False
395,G002483125,Phylum,108,4,False
396,G002483125,Family,89,0,True
397,G002483125,Phylum,84,3,False
398,G002483125,Phylum,72,2,False
399,G002483125,Order,66,1,False
400,G002483125,Class,64,1,False
401,G002483125,Family,51,1,True
402,G002483125,Family,48,2,True
403,G002483125,Phylum,40,1,False
404,G002483125,Order,39,2,True
405,G002483125,Family,34,4,True
406,G002483125,Order,33,1,True
407,G002483125,Order,33,0,True
408,G002483125,Family,28,3,True
409,G002483125,Order,28,3,True
410,G002483125,Family,23,5,True
411,G002483125,Order,21,0,False
412,G002483125,Order,19,4,True
413,G002483125,Genus,15,0,True
414,G002483125,Class,15,0,False
415,G002483125,Class,10,1,True
416,G002483125,Order,9,5,True
417,G002483125,Phylum,7,0,False
418,G002483125,Genus,4,1,True
419,G002483125,Genus,3,3,True
420,G002483125,Class,3,3,True
421,G002483125,Class,3,2,True
422,G002483125,Class,2,4,True
423,G002483125,Kingdom,2,4,False
424,G002483125,Kingdom,1,5,False
425,G002483125,Genus,1,2,True
426,G002483125,Class,1,0,True
427,G004213245,Species,91658,5,False
428,G004213245,Species,60941,4,False
429,G004213245,Species,52634,3,False
430,G004213245,Species,38606,2,False
431,G004213245,Species,18214,1,False
432,G004213245,Species,3187,0,False
433,G004213245,Genus,2631,5,False
434,G004213245,Phylum,2403,1,True
435,G004213245,Genus,2394,4,False
436,G004213245,Genus,2364,3,False
437,G004213245,Genus,2140,2,False
438,G004213245,Phylum,2014,2,True
439,G004213245,Family,1514,2,False
440,G004213245,Family,1377,3,False
441,G004213245,Genus,1351,1,False
442,G004213245,Kingdom,1242,2,True
443,G004213245,Class,1235,1,True
444,G004213245,Kingdom,1208,1,True
445,G004213245,Family,1181,4,False
446,G004213245,Phylum,1169,3,True
447,G004213245,Class,1159,2,True
448,G004213245,Phylum,1140,0,True
449,G004213245,Family,1117,1,False
450,G004213245,Family,1007,5,False
451,G004213245,Class,936,2,False
452,G004213245,Class,850,3,False
453,G004213245,Class,814,1,False
454,G004213245,Order,801,2,False
455,G004213245,Kingdom,742,3,True
456,G004213245,Class,726,3,True
457,G004213245,Order,681,3,False
458,G004213245,Class,661,4,False
459,G004213245,Order,620,1,False
460,G004213245,Class,617,0,True
461,G004213245,Phylum,586,4,True
462,G004213245,Kingdom,512,5,True
463,G004213245,Kingdom,510,4,True
464,G004213245,Order,508,4,False
465,G004213245,Class,500,5,False
466,G004213245,Order,490,5,False
467,G004213245,Kingdom,486,0,True
468,G004213245,Class,435,4,True
469,G004213245,Genus,330,0,False
470,G004213245,Phylum,292,5,True
471,G004213245,Class,289,5,True
472,G004213245,Family,287,0,False
473,G004213245,Phylum,219,5,False
474,G004213245,Class,218,0,False
475,G004213245,Order,174,0,False
476,G004213245,Phylum,117,4,False
477,G004213245,Phylum,104,3,False
478,G004213245,Phylum,76,2,False
479,G004213245,Order,43,1,True
480,G004213245,Family,38,2,True
481,G004213245,Family,37,1,True
482,G004213245,Order,21,2,True
483,G004213245,Order,20,3,True
484,G004213245,Order,17,0,True
485,G004213245,Phylum,15,1,False
486,G004213245,Family,13,5,True
487,G004213245,Family,12,4,True
488,G004213245,Family,8,3,True
489,G004213245,Family,8,0,True
490,G004213245,Order,6,5,True
491,G004213245,Order,6,4,True
492,G004213245,Phylum,2,0,False
493,G004213245,Kingdom,1,4,False
494,G003524445,Species,1240406,0,True
495,G003524445,Species,48581,5,False
496,G003524445,Species,47913,1,True
497,G003524445,Species,36312,4,False
498,G003524445,Species,27593,3,False
499,G003524445,Species,17969,2,False
500,G003524445,Species,9083,1,False
501,G003524445,Family,7210,0,True
502,G003524445,Class,6293,0,True
503,G003524445,Order,5765,0,True
504,G003524445,Genus,2491,5,False
505,G003524445,Genus,2147,4,False
506,G003524445,Genus,1951,3,False
507,G003524445,Species,1719,0,False
508,G003524445,Genus,1537,2,False
509,G003524445,Genus,1313,1,False
510,G003524445,Species,1056,2,True
511,G003524445,Class,953,1,True
512,G003524445,Order,700,1,True
513,G003524445,Kingdom,654,5,True
514,G003524445,Phylum,511,0,True
515,G003524445,Family,444,4,False
516,G003524445,Family,440,5,False
517,G003524445,Kingdom,398,3,True
518,G003524445,Kingdom,396,4,True
519,G003524445,Family,387,1,True
520,G003524445,Family,382,3,False
521,G003524445,Family,354,2,False
522,G003524445,Class,304,2,True
523,G003524445,Kingdom,303,2,True
524,G003524445,Order,292,2,True
525,G003524445,Genus,260,0,False
526,G003524445,Family,258,1,False
527,G003524445,Phylum,227,1,True
528,G003524445,Species,224,3,True
529,G003524445,Order,203,4,False
530,G003524445,Order,201,5,False
531,G003524445,Kingdom,194,1,True
532,G003524445,Phylum,186,5,False
533,G003524445,Kingdom,183,0,True
534,G003524445,Order,164,3,False
535,G003524445,Order,159,3,True
536,G003524445,Order,156,2,False
537,G003524445,Phylum,146,2,True
538,G003524445,Class,141,5,False
539,G003524445,Class,139,3,True
540,G003524445,Species,109,4,True
541,G003524445,Order,103,4,True
542,G003524445,Phylum,103,4,False
543,G003524445,Genus,97,0,True
544,G003524445,Phylum,91,5,True
545,G003524445,Class,91,4,False
546,G003524445,Phylum,90,3,True
547,G003524445,Phylum,85,4,True
548,G003524445,Family,82,2,True
549,G003524445,Order,78,1,False
550,G003524445,Order,68,5,True
551,G003524445,Phylum,61,3,False
552,G003524445,Phylum,60,2,False
553,G003524445,Class,58,4,True
554,G003524445,Class,55,2,False
555,G003524445,Species,54,5,True
556,G003524445,Class,48,3,False
557,G003524445,Class,32,5,True
558,G003524445,Family,32,4,True
559,G003524445,Family,32,0,False
560,G003524445,Phylum,31,1,False
561,G003524445,Family,28,3,True
562,G003524445,Genus,13,1,True
563,G003524445,Class,6,1,False
564,G003524445,Genus,4,2,True
565,G003524445,Family,3,5,True
566,G003524445,Order,3,0,False
567,G003524445,Class,1,0,False
568,G900120415,Species,1258494,0,True
569,G900120415,Kingdom,103247,0,True
570,G900120415,Species,49524,1,True
571,G900120415,Species,32725,5,False
572,G900120415,Species,31332,2,False
573,G900120415,Species,31331,1,False
574,G900120415,Species,29087,3,False
575,G900120415,Species,28210,4,False
576,G900120415,Kingdom,5481,1,True
577,G900120415,Phylum,4750,0,True
578,G900120415,Family,4607,0,False
579,G900120415,Family,3609,1,False
580,G900120415,Genus,3255,1,False
581,G900120415,Genus,2644,2,False
582,G900120415,Class,2242,0,False
583,G900120415,Species,2158,2,True
584,G900120415,Genus,1928,3,False
585,G900120415,Class,1831,1,False
586,G900120415,Family,1718,2,False
587,G900120415,Genus,1708,5,False
588,G900120415,Genus,1676,4,False
589,G900120415,Phylum,1499,0,False
590,G900120415,Phylum,1329,1,True
591,G900120415,Class,1165,2,False
592,G900120415,Species,1121,3,True
593,G900120415,Kingdom,997,2,True
594,G900120415,Family,981,3,False
595,G900120415,Class,890,3,False
596,G900120415,Phylum,772,1,False
597,G900120415,Order,768,0,True
598,G900120415,Genus,665,0,False
599,G900120415,Kingdom,650,5,True
600,G900120415,Class,643,4,False
601,G900120415,Species,618,4,True
602,G900120415,Family,591,4,False
603,G900120415,Kingdom,584,3,True
604,G900120415,Kingdom,537,4,True
605,G900120415,Class,518,5,False
606,G900120415,Family,514,5,False
607,G900120415,Species,438,0,False
608,G900120415,Phylum,414,2,True
609,G900120415,Species,393,5,True
610,G900120415,Phylum,384,2,False
611,G900120415,Order,239,4,False
612,G900120415,Order,231,1,False
613,G900120415,Order,218,5,False
614,G900120415,Order,213,3,False
615,G900120415,Phylum,213,3,False
616,G900120415,Order,206,2,False
617,G900120415,Order,204,0,False
618,G900120415,Phylum,139,3,True
619,G900120415,Phylum,121,4,False
620,G900120415,Phylum,108,5,False
621,G900120415,Phylum,94,4,True
622,G900120415,Phylum,53,5,True
623,G900120415,Genus,26,0,True
624,G900120415,Order,8,1,True
625,G900120415,Class,8,0,True
626,G900120415,Family,6,0,True
627,G900120415,Genus,3,1,True
628,G900120415,Class,1,1,True
629,G012842545,Species,69064,0,False
630,G012842545,Species,65558,1,False
631,G012842545,Species,46221,2,False
632,G012842545,Species,45536,5,False
633,G012842545,Species,35505,3,False
634,G012842545,Species,34117,4,False
635,G012842545,Genus,11949,2,True
636,G012842545,Genus,11001,1,True
637,G012842545,Genus,10818,3,True
638,G012842545,Genus,8518,0,True
639,G012842545,Genus,6597,4,True
640,G012842545,Genus,3393,5,True
641,G012842545,Genus,2096,5,False
642,G012842545,Genus,1381,4,False
643,G012842545,Kingdom,1197,5,True
644,G012842545,Genus,1065,3,False
645,G012842545,Kingdom,821,4,True
646,G012842545,Genus,740,2,False
647,G012842545,Genus,688,0,False
648,G012842545,Kingdom,631,3,True
649,G012842545,Genus,538,1,False
650,G012842545,Phylum,479,5,False
651,G012842545,Kingdom,448,2,True
652,G012842545,Order,361,5,False
653,G012842545,Family,319,4,False
654,G012842545,Family,312,5,False
655,G012842545,Order,273,4,False
656,G012842545,Class,266,5,False
657,G012842545,Phylum,246,4,False
658,G012842545,Family,232,3,False
659,G012842545,Phylum,219,3,False
660,G012842545,Class,216,4,False
661,G012842545,Kingdom,205,1,True
662,G012842545,Class,177,3,False
663,G012842545,Phylum,159,2,False
664,G012842545,Class,133,2,False
665,G012842545,Order,127,3,False
666,G012842545,Kingdom,121,0,True
667,G012842545,Family,113,2,False
668,G012842545,Order,77,2,False
669,G012842545,Order,36,1,False
670,G012842545,Family,33,1,False
671,G012842545,Class,33,1,False
672,G012842545,Phylum,21,1,False
673,G012842545,Family,16,0,False
674,G012842545,Order,16,0,False
675,G012842545,Phylum,14,0,False
676,G012842545,Class,4,0,False
677,G012842545,Kingdom,2,5,False
678,G000251165,Species,386456,0,True
679,G000251165,Species,111422,1,True
680,G000251165,Genus,108627,0,True
681,G000251165,Species,101102,0,False
682,G000251165,Species,84120,5,False
683,G000251165,Species,77527,1,False
684,G000251165,Species,65294,2,False
685,G000251165,Species,57251,3,False
686,G000251165,Species,54566,4,False
687,G000251165,Genus,22399,1,True
688,G000251165,Species,21191,2,True
689,G000251165,Genus,4482,2,True
690,G000251165,Genus,3594,5,False
691,G000251165,Species,3360,3,True
692,G000251165,Genus,2098,4,False
693,G000251165,Kingdom,1790,5,True
694,G000251165,Genus,1661,3,False
695,G000251165,Genus,1342,2,False
696,G000251165,Genus,1178,3,True
697,G000251165,Order,1158,0,True
698,G000251165,Kingdom,975,1,True
699,G000251165,Genus,963,1,False
700,G000251165,Kingdom,909,0,True
701,G000251165,Kingdom,768,4,True
702,G000251165,Kingdom,752,2,True
703,G000251165,Family,639,0,True
704,G000251165,Kingdom,628,3,True
705,G000251165,Species,526,4,True
706,G000251165,Family,511,5,False
707,G000251165,Phylum,453,5,False
708,G000251165,Genus,400,4,True
709,G000251165,Order,397,1,True
710,G000251165,Family,344,4,False
711,G000251165,Phylum,336,0,True
712,G000251165,Order,334,5,False
713,G000251165,Class,334,5,False
714,G000251165,Family,314,2,False
715,G000251165,Family,294,3,False
716,G000251165,Family,278,1,False
717,G000251165,Phylum,228,1,True
718,G000251165,Class,222,4,False
719,G000251165,Class,209,2,False
720,G000251165,Family,208,1,True
721,G000251165,Phylum,199,4,False
722,G000251165,Class,196,3,False
723,G000251165,Order,187,2,True
724,G000251165,Phylum,185,3,False
725,G000251165,Order,168,4,False
726,G000251165,Phylum,168,2,False
727,G000251165,Genus,164,5,True
728,G000251165,Species,159,5,True
729,G000251165,Order,147,3,False
730,G000251165,Class,144,1,False
731,G000251165,Order,128,1,False
732,G000251165,Order,123,2,False
733,G000251165,Phylum,121,2,True
734,G000251165,Phylum,101,1,False
735,G000251165,Class,100,0,True
736,G000251165,Family,99,2,True
737,G000251165,Genus,93,0,False
738,G000251165,Order,65,3,True
739,G000251165,Phylum,44,3,True
740,G000251165,Class,43,1,True
741,G000251165,Family,31,3,True
742,G000251165,Phylum,29,4,True
743,G000251165,Order,25,4,True
744,G000251165,Family,20,0,False
745,G000251165,Class,19,2,True
746,G000251165,Order,18,0,False
747,G000251165,Class,18,0,False
748,G000251165,Order,13,5,True
749,G000251165,Family,13,4,True
750,G000251165,Class,13,3,True
751,G000251165,Phylum,12,5,True
752,G000251165,Phylum,9,0,False
753,G000251165,Class,8,4,True
754,G000251165,Family,5,5,True
755,G000251165,Class,2,5,True
756,G000251165,Kingdom,2,2,False
757,G000251165,Kingdom,1,3,False
758,G009360585,Species,131760,2,False
759,G009360585,Species,125029,3,False
760,G009360585,Species,99885,4,False
761,G009360585,Species,96026,1,False
762,G009360585,Species,95951,5,False
763,G009360585,Species,35849,0,False
764,G009360585,Genus,23458,1,True
765,G009360585,Genus,22435,0,True
766,G009360585,Genus,16404,2,True
767,G009360585,Genus,9772,3,True
768,G009360585,Family,6029,0,True
769,G009360585,Genus,4770,4,True
770,G009360585,Family,4061,1,True
771,G009360585,Phylum,3524,0,True
772,G009360585,Genus,2650,5,False
773,G009360585,Genus,2138,5,True
774,G009360585,Family,2049,2,True
775,G009360585,Genus,1653,4,False
776,G009360585,Genus,1414,3,False
777,G009360585,Genus,1173,2,False
778,G009360585,Phylum,1129,1,True
779,G009360585,Kingdom,1037,5,True
780,G009360585,Genus,882,1,False
781,G009360585,Family,813,3,True
782,G009360585,Family,793,1,False
783,G009360585,Genus,676,0,False
784,G009360585,Family,665,2,False
785,G009360585,Phylum,662,2,True
786,G009360585,Phylum,434,3,True
787,G009360585,Kingdom,416,4,True
788,G009360585,Phylum,413,5,True
789,G009360585,Family,388,3,False
790,G009360585,Family,384,5,False
791,G009360585,Family,382,0,False
792,G009360585,Phylum,364,4,True
793,G009360585,Family,357,4,True
794,G009360585,Kingdom,326,2,True
795,G009360585,Family,320,4,False
796,G009360585,Kingdom,318,1,True
797,G009360585,Kingdom,297,3,True
798,G009360585,Class,275,5,False
799,G009360585,Order,255,5,False
800,G009360585,Phylum,198,5,False
801,G009360585,Kingdom,193,0,True
802,G009360585,Order,144,4,False
803,G009360585,Family,128,5,True
804,G009360585,Class,118,3,False
805,G009360585,Class,117,4,False
806,G009360585,Order,103,3,False
807,G009360585,Order,101,2,False
808,G009360585,Class,73,2,False
809,G009360585,Phylum,71,4,False
810,G009360585,Order,68,1,False
811,G009360585,Phylum,67,3,False
812,G009360585,Class,53,1,False
813,G009360585,Phylum,51,2,False
814,G009360585,Phylum,48,1,False
